,index,LoadHourlyAvg,Percentile
825,825,3263.9399999999987,0.987
826,826,3263.072727272727,0.987
827,827,3262.23,0.987
828,828,3261.992727272728,0.987
829,829,3261.992727272728,0.987
830,830,3261.4200000000005,0.987
831,831,3259.8900000000012,0.987
832,832,3259.6363636363635,0.987
833,833,3259.08,0.987
834,834,3258.63,0.987
835,835,3258.2700000000004,0.987
836,836,3258.2618181818184,0.987
837,837,3257.9100000000008,0.987
838,838,3257.82,0.987
839,839,3257.82,0.987
840,840,3257.55,0.987
841,841,3256.4945454545455,0.987
842,842,3256.47,0.987
843,843,3254.4,0.987
844,844,3254.4,0.987
845,845,3254.3099999999995,0.987
846,846,3253.860000000001,0.987
847,847,3253.86,0.987
848,848,3253.6800000000007,0.987
849,849,3253.1400000000012,0.987
850,850,3253.1399999999994,0.987
851,851,3252.4200000000005,0.987
852,852,3249.450000000001,0.987
853,853,3247.470000000001,0.987
854,854,3247.2000000000007,0.987
855,855,3244.8,0.987
856,856,3244.23,0.987
857,857,3243.9600000000005,0.987
858,858,3243.42,0.987
859,859,3242.1600000000008,0.987
860,860,3242.1600000000008,0.987
861,861,3240.63,0.987
862,862,3239.46,0.987
863,863,3239.01,0.987
864,864,3238.625454545455,0.987
865,865,3236.6700000000005,0.987
866,866,3236.67,0.987
867,867,3236.400000000001,0.987
868,868,3235.9499999999994,0.986
869,869,3235.896,0.986
870,870,3235.86,0.986
871,871,3235.7700000000013,0.986
872,872,3235.590000000001,0.986
873,873,3235.4836363636364,0.986
874,874,3235.41,0.986
875,875,3235.3854545454546,0.986
876,876,3235.32,0.986
877,877,3234.6981818181816,0.986
878,878,3234.6,0.986
879,879,3234.330000000001,0.986
880,880,3232.7999999999993,0.986
881,881,3232.620000000001,0.986
882,882,3232.3418181818183,0.986
883,883,3231.556363636365,0.986
884,884,3231.5400000000013,0.986
885,885,3230.1720000000005,0.986
886,886,3229.9200000000005,0.986
887,887,3229.38,0.986
888,888,3229.11,0.986
889,889,3228.512727272728,0.986
890,890,3228.336,0.986
891,891,3228.2181818181816,0.986
892,892,3228.1200000000013,0.986
893,893,3228.120000000001,0.986
894,894,3227.8254545454547,0.986
895,895,3227.580000000001,0.986
896,896,3226.2300000000014,0.986
897,897,3226.1400000000012,0.986
898,898,3226.050000000001,0.986
899,899,3225.600000000001,0.986
900,900,3225.600000000001,0.986
901,901,3224.7818181818184,0.986
902,902,3223.996363636364,0.986
903,903,3223.8981818181824,0.986
904,904,3223.6036363636363,0.986
905,905,3223.4400000000014,0.986
906,906,3222.4500000000007,0.986
907,907,3222.090000000001,0.986
908,908,3221.100000000001,0.986
909,909,3220.952727272728,0.986
910,910,3220.5600000000004,0.986
911,911,3220.461818181818,0.986
912,912,3219.57,0.986
913,913,3218.85,0.986
914,914,3218.76,0.986
