,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
21576,21576,1615.9499999999998,CAV-01-3A-07,10,269.0
21577,21577,1615.86,CAV-01-3A-17,7,264.0
21578,21578,1615.86,CAV-01-3A-11,2,269.0
21579,21579,1615.86,CAV-01-3A-24,5,268.0
21580,21580,1615.7700000000002,CAV-01-3A-09,7,256.0
21581,21581,1615.6800000000003,CAV-01-3A-20,6,250.0
21582,21582,1615.59,CAV-01-3A-10,3,256.0
21583,21583,1615.59,CAV-01-3A-20,4,250.0
21584,21584,1615.59,CAV-01-3A-20,2,250.0
21585,21585,1615.59,CAV-02-3A-03,5,268.0
21586,21586,1615.5,CAV-01-3A-24,5,268.0
21587,21587,1615.41,CAV-01-3A-17,4,264.0
21588,21588,1615.32,CAV-01-3A-10,2,256.0
21589,21589,1615.2872727272727,CAV-02-5A-05,6,348.0
21590,21590,1615.1400000000003,CAV-02-5A-03,8,268.0
21591,21591,1615.14,CAV-02-3A-25,5,334.0
21592,21592,1615.1399999999996,CAV-01-3A-10,11,256.0
21593,21593,1615.0500000000002,CAV-01-3A-15,5,255.0
21594,21594,1614.8945454545456,CAV-01-3A-18,11,250.0
21595,21595,1614.7963636363638,CAV-01-3A-17,9,264.0
21596,21596,1614.7800000000004,CAV-01-3A-23,7,334.0
21597,21597,1614.78,CAV-01-3A-24,4,268.0
21598,21598,1614.6900000000005,CAV-01-3A-18,5,250.0
21599,21599,1614.6900000000005,CAV-01-3A-20,6,250.0
21600,21600,1614.6000000000004,CAV-02-5A-04,12,268.0
21601,21601,1614.6000000000004,CAV-02-5A-03,6,268.0
21602,21602,1614.6000000000004,CAV-02-5A-05,10,348.0
21603,21603,1614.6,CAV-01-3A-24,10,268.0
